full_name,mentions_match
Paul Pierce,The Truth
Pero Antic,Antic
Peyton Siva,Siva
Phil Pressey,Pressey
Quincy Acy,Acy
Quincy Pondexter,Pondexter
Ramon Sessions,Sessions
Rasual Butler,Rasual
Ray Allen,"Jesus Shuttlesworth,Shuttlesworth,Ray Ray"
Ray McCallum,McCallum
Raymond Felton,Felton
Rick Brunson,Brunson
Ricky Ledo,Ledo
Ricky Rubio,Rubio
Robbie Hummel,Hummel
Robert Covington,Covington
Robert Sacre,Sacre
Robert Williams,Rob Williams
Rodney Stuckey,Stuckey
Ronny Turiaf,Turiaf
Roy Hibbert,Hibbert
Rudy Gobert,Gobert
Rui Hachimura,Hachimura
Russell Westbrook,Westbrook
Samuel Dalembert,"Sam Dalembert,Dalembert"
Serge Ibaka,"Iblocka,Ibaka"
Sergey Karasev,Karasev
Sergio Rodriguez,"chachismo,Chacho"
Shabazz Muhammad,"Muhammad,Shabazz"
Shabazz Napier,Napier
Shai Gilgeous-Alexander,"Shai,SGA"
Shane Battier,Battier
Shane Larkin,Larkin
Shaquille Harrison,Shaq Harrison
Shavlik Randolph,Shav
Shawn Marion,"The Matrix,Matrix"
Spencer Dinwiddie,Dinwiddie
Spencer Hawes,Hawes
Stephen Curry,"Steph Curry,Chef Curry,Curry"
Steve Kerr,Kerr
Steve Nash,"Nashy,Nash"
Steve Novak,Novak
Tayshaun Prince,Tayshaun
Terrence Ross,T-Ross
Terry Rozier,Rozier
Thabo Sefolosha,"Sefolosha,Thabo"
Thaddeus Young,"Thad Young,Thad"
Thanasis Antetokounmpo,Thanasis
Thomas Robinson,"T-Rob,Trob"
Tiago Splitter,"Splitter,Tiago"
Tim Duncan,"Big Fundamental,Duncan"
Tim Hardaway Jr,Hardaway
Timofey Mozgov,"Mozgov,Timo"
Tobias Harris,Tobias
Tony Parker,TP
Tony Snell,Snell
Tornike Shengelia,"Toko Shengelia,Shengelia,Tornike,Toko"
Toure Murry,Toure
Trae Young,Trae
Trevor Ariza,Ariza
Trey Burke,Burke
Tristan Thompson,Tristan
Ty Lawson,Lawson
Tyler Hansbrough,Hansbrough
Tyreke Evans,"Tyreke,Reke"
Tyrese Haliburton,Haliburton
Tyrese Maxey,Maxey
Tyronn Lue,"Ty Lue,Lue"
Udonis Haslem,"Haslem,Udonis"
Victor Claver,Claver
Victor Oladipo,Oladipo
Victor Wembanyama,"Wembanyama, Wemby"
Vince Carter,"Air Canada,Vinsanity"
Vitor Faverani,Faverani
Wayne Ellington,Ellington
Zach LaVine,LaVine
Zach Randolph,"Z-Bo,Zbo"
Zaza Pachulia,Pachulia
Zion Williamson,"Zion,Williamson"
Kingston Flemings,Flemings
Zuby Ejiofor,Ejiofor
Henri Veesaar,Veesaar
Chris Cenac,Cenac
Joshua Jefferson,Jefferson
Tyler Bilodeau,Bilodeau
Hannes Steinbach,Steinbach
Michael Ajayi,Ajayi
